Date,Match,League_ID,Decision_Over15,Decision_Result,O15I,RSI_A,Fiabilite_Over15,Fiabilite_Result,Flags
2025-08-30,IF Brommapojkarna vs IF Elfsborg,113,UltraSafe +1.5,Éviter,0.997,-0.196,0.997,0.196,
2025-08-30,Mjallby AIF vs Halmstad,113,UltraSafe +1.5,Safe A ou Nul,0.995,0.517,0.995,0.517,
2025-08-30,Valerenga vs Bryne,103,UltraSafe +1.5,Éviter,0.918,0.136,0.918,0.136,
2025-08-30,Dukla Praha vs Hradec Králové,345,UltraSafe +1.5,Éviter,0.949,-0.205,0.949,0.205,
2025-08-30,Karviná vs Teplice,345,UltraSafe +1.5,Éviter,0.993,-0.002,0.993,0.002,
2025-08-30,Slovácko vs FK Jablonec,345,UltraSafe +1.5,Éviter,0.949,-0.403,0.949,0.403,
2025-08-30,Pardubice vs Bohemians 1905,345,UltraSafe +1.5,Éviter,0.977,-0.191,0.977,0.191,
2025-08-30,Mlada Boleslav vs Slavia Praha,345,UltraSafe +1.5,UltraSafe B ou Nul,0.995,-0.638,0.995,0.638,
2025-08-30,Unirea Slobozia vs Universitatea Cluj,283,UltraSafe +1.5,Éviter,0.975,-0.171,0.975,0.171,
2025-08-30,Dinamo Bucuresti vs AFC Hermannstadt,283,UltraSafe +1.5,Éviter,0.956,0.038,0.956,0.038,
2025-08-30,Vukovar vs NK Slaven Belupo,210,UltraSafe +1.5,Éviter,0.918,-0.103,0.918,0.103,low_sample_A(1.2)
2025-08-30,NK Varazdin vs Dinamo Zagreb,210,UltraSafe +1.5,Éviter,0.979,-0.330,0.979,0.330,
2025-08-30,Kryvbas KR vs Obolon'-Brovar,333,UltraSafe +1.5,Éviter,0.918,0.188,0.918,0.188,
2025-08-30,Kolos Kovalivka vs Epitsentr Dunayivtsi,333,UltraSafe +1.5,Safe A ou Nul,0.980,0.536,0.980,0.536,low_sample_B(1.5999999999999999)
2025-08-30,Metalist 1925 Kharkiv vs Ruh Lviv,333,UltraSafe +1.5,Éviter,0.942,0.273,0.942,0.273,low_sample_A(2.9999999999999996)
